end_station_name,end_lat,end_lng,member_casual,count
2112 W Peterson Ave,41.9912,-87.6836,casual,114
2112 W Peterson Ave,41.9912,-87.6836,member,500
63rd St Beach,41.781,-87.5761,casual,688
63rd St Beach,41.781,-87.5761,member,489
900 W Harrison St,41.8748,-87.6498,casual,887
900 W Harrison St,41.8748,-87.6498,member,5826
Aberdeen St & Jackson Blvd,41.8777,-87.6548,casual,1245
Aberdeen St & Jackson Blvd,41.8777,-87.6548,member,10903
Aberdeen St & Monroe St,41.8804,-87.6555,casual,946
Aberdeen St & Monroe St,41.8804,-87.6555,member,8772
Aberdeen St & Randolph St,41.8841,-87.6543,casual,1467
Aberdeen St & Randolph St,41.8841,-87.6543,member,9144
Ada St & Washington Blvd,41.8828,-87.6612,casual,774
Ada St & Washington Blvd,41.8828,-87.6612,member,7279
Adler Planetarium,41.8661,-87.6073,casual,10718
Adler Planetarium,41.8661,-87.6073,member,4932
Albany Ave & 26th St,41.8445,-87.702,casual,78
Albany Ave & 26th St,41.8445,-87.702,member,135
Albany Ave & Bloomingdale Ave,41.914,-87.7051,casual,875
Albany Ave & Bloomingdale Ave,41.914,-87.7051,member,2982
Albany Ave & Montrose Ave,41.961,-87.7059,casual,241
Albany Ave & Montrose Ave,41.961,-87.7059,member,946
Archer (Damen) Ave & 37th St,41.8267,-87.6831,casual,136
Archer (Damen) Ave & 37th St,41.8267,-87.6831,member,393
Artesian Ave & Hubbard St,41.8895,-87.6882,casual,351
Artesian Ave & Hubbard St,41.8895,-87.6882,member,4090
Ashland Ave & 13th St,41.8652,-87.6665,casual,151
Ashland Ave & 13th St,41.8652,-87.6665,member,2331
Ashland Ave & 50th St,41.803,-87.6647,casual,68
Ashland Ave & 50th St,41.803,-87.6647,member,65
Ashland Ave & 63rd St,41.7794,-87.6648,casual,20
Ashland Ave & 63rd St,41.7794,-87.6648,member,67
Ashland Ave & 69th St,41.7687,-87.6641,casual,29
Ashland Ave & 69th St,41.7687,-87.6641,member,32
Ashland Ave & Archer Ave,41.8392,-87.6656,casual,154
Ashland Ave & Archer Ave,41.8392,-87.6656,member,382
Ashland Ave & Augusta Blvd,41.8996,-87.6677,casual,516
Ashland Ave & Augusta Blvd,41.8996,-87.6677,member,4603
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,casual,429
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,member,2310
Ashland Ave & Blackhawk St,41.9071,-87.6673,casual,1089
Ashland Ave & Blackhawk St,41.9071,-87.6673,member,5853
Ashland Ave & Chicago Ave,41.896,-87.6677,casual,873
Ashland Ave & Chicago Ave,41.896,-87.6677,member,4935
Ashland Ave & Division St,41.9035,-87.6677,casual,3289
Ashland Ave & Division St,41.9035,-87.6677,member,17107
Ashland Ave & Garfield Blvd,41.7928,-87.6644,casual,11
Ashland Ave & Garfield Blvd,41.7928,-87.6644,member,124
Ashland Ave & Grace St,41.9507,-87.6687,casual,772
Ashland Ave & Grace St,41.9507,-87.6687,member,3875
Ashland Ave & Grand Ave,41.8911,-87.6666,casual,545
Ashland Ave & Grand Ave,41.8911,-87.6666,member,4163
Ashland Ave & Lake St,41.8859,-87.6672,casual,443
Ashland Ave & Lake St,41.8859,-87.6672,member,3266
Ashland Ave & McDowell Ave,41.8089,-87.6645,casual,65
Ashland Ave & McDowell Ave,41.8089,-87.6645,member,512
Ashland Ave & Pershing Rd,41.8235,-87.6656,casual,58
Ashland Ave & Pershing Rd,41.8235,-87.6656,member,348
Ashland Ave & Wellington Ave,41.9361,-87.6698,casual,623
Ashland Ave & Wellington Ave,41.9361,-87.6698,member,3499
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,casual,924
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,member,4523
Austin Blvd & Chicago Ave,41.8949,-87.7747,casual,84
Austin Blvd & Chicago Ave,41.8949,-87.7747,member,109
Austin Blvd & Lake St,41.8879,-87.7744,casual,157
Austin Blvd & Lake St,41.8879,-87.7744,member,277
Austin Blvd & Madison St,41.8803,-87.7745,casual,80
Austin Blvd & Madison St,41.8803,-87.7745,member,58
Avers Ave & Belmont Ave,41.9394,-87.7236,casual,355
Avers Ave & Belmont Ave,41.9394,-87.7236,member,881
Avondale Ave & Irving Park Rd,41.9534,-87.732,casual,285
Avondale Ave & Irving Park Rd,41.9534,-87.732,member,1429
Bennett Ave & 79th St,41.7518,-87.5785,casual,12
Bennett Ave & 79th St,41.7518,-87.5785,member,32
Benson Ave & Church St,42.0482,-87.6835,casual,1249
Benson Ave & Church St,42.0482,-87.6835,member,4047
Bernard St & Elston Ave,41.9499,-87.7139,casual,105
Bernard St & Elston Ave,41.9499,-87.7139,member,573
Bissell St & Armitage Ave,41.9184,-87.6522,casual,2847
Bissell St & Armitage Ave,41.9184,-87.6522,member,13608
Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,casual,709
Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,member,2692
Blue Island Ave & 18th St,41.8576,-87.6615,casual,894
Blue Island Ave & 18th St,41.8576,-87.6615,member,5746
Bosworth Ave & Howard St,42.0195,-87.6696,casual,118
Bosworth Ave & Howard St,42.0195,-87.6696,member,338
Broadway & Argyle St,41.9738,-87.6597,casual,1169
Broadway & Argyle St,41.9738,-87.6597,member,4502
Broadway & Barry Ave,41.9377,-87.6441,casual,4354
Broadway & Barry Ave,41.9377,-87.6441,member,15054
Broadway & Belmont Ave,41.9401,-87.6455,casual,3179
Broadway & Belmont Ave,41.9401,-87.6455,member,8559
Broadway & Berwyn Ave,41.9784,-87.6598,casual,1137
Broadway & Berwyn Ave,41.9784,-87.6598,member,4655
Broadway & Cornelia Ave,41.9455,-87.6464,casual,3002
Broadway & Cornelia Ave,41.9455,-87.6464,member,9688
Broadway & Granville Ave,41.9948,-87.6603,casual,1581
Broadway & Granville Ave,41.9948,-87.6603,member,3116
Broadway & Ridge Ave,41.984,-87.6603,casual,930
Broadway & Ridge Ave,41.984,-87.6603,member,3632
Broadway & Sheridan Rd,41.9528,-87.65,casual,1541
Broadway & Sheridan Rd,41.9528,-87.65,member,6700
Broadway & Thorndale Ave,41.9897,-87.6601,casual,1331
Broadway & Thorndale Ave,41.9897,-87.6601,member,3518
Broadway & Waveland Ave,41.9491,-87.6486,casual,2043
Broadway & Waveland Ave,41.9491,-87.6486,member,9689
Broadway & Wilson Ave,41.9652,-87.6581,casual,1227
Broadway & Wilson Ave,41.9652,-87.6581,member,6814
Buckingham Fountain,41.8765,-87.6205,casual,2944
Buckingham Fountain,41.8765,-87.6205,member,2364
Budlong Woods Library,41.9837,-87.6964,casual,203
Budlong Woods Library,41.9837,-87.6964,member,310
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,casual,1507
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,member,8784
Burnham Harbor,41.8563,-87.6133,casual,4132
Burnham Harbor,41.8563,-87.6133,member,7321
California Ave & 21st St,41.8538,-87.6957,casual,198
California Ave & 21st St,41.8538,-87.6957,member,852
California Ave & 23rd Pl,41.8491,-87.6951,casual,69
California Ave & 23rd Pl,41.8491,-87.6951,member,800
California Ave & 26th St,41.844,-87.6953,casual,24
California Ave & 26th St,41.844,-87.6953,member,120
California Ave & Altgeld St,41.9267,-87.6977,casual,549
California Ave & Altgeld St,41.9267,-87.6977,member,2145
California Ave & Byron St,41.9522,-87.6981,casual,338
California Ave & Byron St,41.9522,-87.6981,member,917
California Ave & Cortez St,41.9004,-87.6967,casual,775
California Ave & Cortez St,41.9004,-87.6967,member,3565
California Ave & Division St,41.903,-87.6975,casual,781
California Ave & Division St,41.903,-87.6975,member,1572
California Ave & Fletcher St,41.9384,-87.698,casual,629
California Ave & Fletcher St,41.9384,-87.698,member,1678
California Ave & Francis Pl (Temp),41.9185,-87.6974,casual,101
California Ave & Francis Pl (Temp),41.9185,-87.6974,member,777
California Ave & Lake St,41.8845,-87.6963,casual,127
California Ave & Lake St,41.8845,-87.6963,member,678
California Ave & Milwaukee Ave,41.9227,-87.6972,casual,1875
California Ave & Milwaukee Ave,41.9227,-87.6972,member,7081
California Ave & Montrose Ave,41.9611,-87.6954,casual,484
California Ave & Montrose Ave,41.9611,-87.6954,member,1585
California Ave & North Ave,41.9104,-87.6972,casual,701
California Ave & North Ave,41.9104,-87.6972,member,2684
Calumet Ave & 18th St,41.8576,-87.6194,casual,2122
Calumet Ave & 18th St,41.8576,-87.6194,member,6236
Calumet Ave & 21st St,41.8542,-87.6192,casual,2068
Calumet Ave & 21st St,41.8542,-87.6192,member,2169
Calumet Ave & 33rd St,41.8349,-87.6179,casual,314
Calumet Ave & 33rd St,41.8349,-87.6179,member,2782
Calumet Ave & 35th St,41.8314,-87.618,casual,241
Calumet Ave & 35th St,41.8314,-87.618,member,861
Calumet Ave & 51st St,41.8023,-87.6181,casual,175
Calumet Ave & 51st St,41.8023,-87.6181,member,516
Campbell Ave & Fullerton Ave,41.9246,-87.6893,casual,552
Campbell Ave & Fullerton Ave,41.9246,-87.6893,member,2230
Campbell Ave & Montrose Ave,41.9615,-87.6912,casual,223
Campbell Ave & Montrose Ave,41.9615,-87.6912,member,2281
Campbell Ave & North Ave,41.9105,-87.6896,casual,741
Campbell Ave & North Ave,41.9105,-87.6896,member,3832
Canal St & Adams St,41.8793,-87.6399,casual,2867
Canal St & Adams St,41.8793,-87.6399,member,48792
Canal St & Harrison St,41.8743,-87.6396,casual,354
Canal St & Harrison St,41.8743,-87.6396,member,2715
Canal St & Jackson Blvd,41.8772,-87.6394,casual,1126
Canal St & Jackson Blvd,41.8772,-87.6394,member,8977
Canal St & Madison St,41.8821,-87.6398,casual,2308
Canal St & Madison St,41.8821,-87.6398,member,25089
Canal St & Monroe St,41.8817,-87.6395,casual,853
Canal St & Monroe St,41.8817,-87.6395,member,7780
Canal St & Taylor St,41.8703,-87.6395,casual,1141
Canal St & Taylor St,41.8703,-87.6395,member,6688
Cannon Dr & Fullerton Ave,41.9268,-87.6344,casual,3935
Cannon Dr & Fullerton Ave,41.9268,-87.6344,member,3024
Carpenter St & Huron St,41.8946,-87.6534,casual,737
Carpenter St & Huron St,41.8946,-87.6534,member,6407
Central Ave & Chicago Ave,41.895,-87.7649,casual,65
Central Ave & Chicago Ave,41.895,-87.7649,member,150
Central Ave & Harrison St,41.873,-87.7645,casual,64
Central Ave & Harrison St,41.873,-87.7645,member,28
Central Ave & Lake St,41.8877,-87.7655,casual,51
Central Ave & Lake St,41.8877,-87.7655,member,63
Central Ave & Madison St,41.8801,-87.7632,casual,48
Central Ave & Madison St,41.8801,-87.7632,member,79
Central Park Ave & 24th St,41.8481,-87.7151,casual,66
Central Park Ave & 24th St,41.8481,-87.7151,member,25
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,casual,1079
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,member,1073
Central Park Ave & Elbridge Ave,41.9353,-87.7169,casual,261
Central Park Ave & Elbridge Ave,41.9353,-87.7169,member,1262
Central Park Ave & North Ave,41.9097,-87.7166,casual,268
Central Park Ave & North Ave,41.9097,-87.7166,member,863
Central Park Ave & Ogden Ave,41.8542,-87.7154,casual,89
Central Park Ave & Ogden Ave,41.8542,-87.7154,member,134
