end_station_name,end_lat,end_lng,casual,member
HQ QR,41.8899,-87.6803,4,1
MTL-ECO5.1-01,41.9171,-87.7482,1,3
Elizabeth St & 59th St,41.7867,-87.6559,5,8
May St & 69th St,41.7689,-87.6529,11,8
South Chicago Ave & 83rd St,41.7439,-87.5752,21,9
Woodlawn Ave & 75th St,41.7592,-87.5958,34,10
Kostner Ave & Lake St,41.8859,-87.7354,8,11
Seeley Ave & Garfield Blvd,41.7941,-87.6755,17,11
Halsted St & 51st St,41.8018,-87.6452,19,11
Cicero Ave & Flournoy St,41.8721,-87.7466,12,13
Shields Ave & 43rd St,41.8162,-87.6348,19,17
Stony Island Ave & South Chicago Ave,41.7512,-87.5853,16,18
Throop St & 52nd St,41.7997,-87.6572,23,18
Cicero Ave & Quincy St,41.8776,-87.7454,41,18
Halsted St & 59th St,41.7875,-87.6449,8,22
Cottage Grove Ave & 71st St,41.7657,-87.605,20,24
State St & 76th St,41.757,-87.6246,31,24
Exchange Ave & 79th St,41.7517,-87.5528,35,24
Wabash Ave & 83rd St,41.7433,-87.6228,14,25
Central Park Ave & 24th St,41.8481,-87.7151,66,25
Kenton Ave & Madison St,41.8807,-87.741,8,26
Marshfield Ave & 59th St,41.7868,-87.6662,11,27
Damen Ave & 51st St,41.8009,-87.6747,34,28
Phillips Ave & 79th St,41.7518,-87.5652,34,28
Central Ave & Harrison St,41.873,-87.7645,64,28
Commercial Ave & 83rd St,41.7446,-87.5512,54,29
Bennett Ave & 79th St,41.7518,-87.5785,12,32
Ashland Ave & 69th St,41.7687,-87.6641,29,32
Cottage Grove Ave & 83rd St,41.7434,-87.6048,76,34
Laramie Ave & Gladys Ave,41.8758,-87.7553,16,35
Stony Island Ave & 82nd St,41.7466,-87.586,25,39
Stewart Ave & 63rd St (*),41.7798,-87.6348,9,41
Vernon Ave & 79th St,41.7509,-87.6138,22,41
Cottage Grove Ave & 78th St,41.7532,-87.605,25,44
Halsted St & 56th St,41.7929,-87.645,24,48
Halsted St & 69th St,41.7691,-87.6446,36,48
State St & 54th St,41.7966,-87.6259,34,49
Laramie Ave & Kinzie St,41.8878,-87.7555,22,51
Austin Blvd & Madison St,41.8803,-87.7745,80,58
Central Park Blvd & 5th Ave,41.8757,-87.7155,46,59
Marshfield Ave & 44th St,41.814,-87.6666,52,59
Phillips Ave & 83rd St,41.7445,-87.5651,20,62
Cicero Ave & Lake St,41.8868,-87.7453,37,63
MLK Jr Dr & 56th St,41.7934,-87.6159,46,63
Central Ave & Lake St,41.8877,-87.7655,51,63
Ashland Ave & 50th St,41.803,-87.6647,68,65
Ashland Ave & 63rd St,41.7794,-87.6648,20,67
Yates Blvd & 75th St,41.7588,-87.5664,53,67
Stony Island Ave & 67th St,41.7735,-87.5853,152,68
Damen Ave & Pershing Rd,41.8232,-87.6766,115,69
Kedzie Ave & 24th St,41.8482,-87.7054,33,71
Latrobe Ave & Chicago Ave,41.8947,-87.7569,40,71
Perry Ave & 69th St,41.7693,-87.6282,29,72
Laramie Ave & Madison St,41.8802,-87.7553,53,72
Wentworth Ave & 63rd St,41.7801,-87.6297,36,75
Jeffery Blvd & 76th St,41.7571,-87.5758,44,76
Wabash Ave & 87th St,41.7366,-87.6226,62,76
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),41.89,-87.6807,111,76
Elizabeth St & 47th St,41.8084,-87.6565,23,77
Rainbow Beach,41.7579,-87.5494,74,78
Jeffery Blvd & 67th St,41.7735,-87.5771,247,78
Central Ave & Madison St,41.8801,-87.7632,48,79
Eberhart Ave & 61st St,41.7841,-87.6133,98,79
Evans Ave & 75th St,41.7585,-87.6064,19,83
