start_station_name,start_lat,start_lng,member_casual,count
2112 W Peterson Ave,41.9912,-87.6836,casual,127
2112 W Peterson Ave,41.9912,-87.6836,member,372
63rd St Beach,41.781,-87.5761,casual,693
63rd St Beach,41.781,-87.5761,member,500
900 W Harrison St,41.8748,-87.6498,casual,979
900 W Harrison St,41.8748,-87.6498,member,6018
Aberdeen St & Jackson Blvd,41.8777,-87.6548,casual,1291
Aberdeen St & Jackson Blvd,41.8777,-87.6548,member,10740
Aberdeen St & Monroe St,41.8804,-87.6555,casual,1274
Aberdeen St & Monroe St,41.8804,-87.6555,member,8403
Aberdeen St & Randolph St,41.8841,-87.6543,casual,1727
Aberdeen St & Randolph St,41.8841,-87.6543,member,8830
Ada St & Washington Blvd,41.8828,-87.6612,casual,774
Ada St & Washington Blvd,41.8828,-87.6612,member,6914
Adler Planetarium,41.8661,-87.6073,casual,12029
Adler Planetarium,41.8661,-87.6073,member,4939
Albany Ave & 26th St,41.8445,-87.702,casual,79
Albany Ave & 26th St,41.8445,-87.702,member,144
Albany Ave & Bloomingdale Ave,41.914,-87.7051,casual,1055
Albany Ave & Bloomingdale Ave,41.914,-87.7051,member,2843
Albany Ave & Montrose Ave,41.961,-87.7059,casual,271
Albany Ave & Montrose Ave,41.961,-87.7059,member,753
Archer (Damen) Ave & 37th St,41.8267,-87.6831,casual,97
Archer (Damen) Ave & 37th St,41.8267,-87.6831,member,363
Artesian Ave & Hubbard St,41.8895,-87.6882,casual,511
Artesian Ave & Hubbard St,41.8895,-87.6882,member,6012
Ashland Ave & 13th St,41.8652,-87.6665,casual,152
Ashland Ave & 13th St,41.8652,-87.6665,member,1937
Ashland Ave & 50th St,41.803,-87.6647,casual,37
Ashland Ave & 50th St,41.803,-87.6647,member,52
Ashland Ave & 63rd St,41.7794,-87.6648,casual,16
Ashland Ave & 63rd St,41.7794,-87.6648,member,51
Ashland Ave & Archer Ave,41.8392,-87.6656,casual,188
Ashland Ave & Archer Ave,41.8392,-87.6656,member,439
Ashland Ave & Augusta Blvd,41.8996,-87.6677,casual,602
Ashland Ave & Augusta Blvd,41.8996,-87.6677,member,4697
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,casual,509
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,member,2293
Ashland Ave & Blackhawk St,41.9071,-87.6673,casual,973
Ashland Ave & Blackhawk St,41.9071,-87.6673,member,5657
Ashland Ave & Chicago Ave,41.896,-87.6677,casual,940
Ashland Ave & Chicago Ave,41.896,-87.6677,member,4690
Ashland Ave & Division St,41.9035,-87.6677,casual,3058
Ashland Ave & Division St,41.9035,-87.6677,member,16288
Ashland Ave & Garfield Blvd,41.7928,-87.6644,casual,10
Ashland Ave & Garfield Blvd,41.7928,-87.6644,member,143
Ashland Ave & Grace St,41.9507,-87.6687,casual,728
Ashland Ave & Grace St,41.9507,-87.6687,member,4011
Ashland Ave & Grand Ave,41.8911,-87.6666,casual,547
Ashland Ave & Grand Ave,41.8911,-87.6666,member,4030
Ashland Ave & Lake St,41.8859,-87.6672,casual,609
Ashland Ave & Lake St,41.8859,-87.6672,member,3741
Ashland Ave & McDowell Ave,41.8089,-87.6645,casual,42
Ashland Ave & McDowell Ave,41.8089,-87.6645,member,521
Ashland Ave & Pershing Rd,41.8235,-87.6656,casual,64
Ashland Ave & Pershing Rd,41.8235,-87.6656,member,304
Ashland Ave & Wellington Ave,41.9361,-87.6698,casual,541
Ashland Ave & Wellington Ave,41.9361,-87.6698,member,3136
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,casual,951
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,member,4318
Austin Blvd & Chicago Ave,41.8949,-87.7747,casual,57
Austin Blvd & Chicago Ave,41.8949,-87.7747,member,71
Austin Blvd & Lake St,41.8879,-87.7744,casual,142
Austin Blvd & Lake St,41.8879,-87.7744,member,286
Austin Blvd & Madison St,41.8803,-87.7745,casual,84
Austin Blvd & Madison St,41.8803,-87.7745,member,103
Avers Ave & Belmont Ave,41.9394,-87.7236,casual,305
Avers Ave & Belmont Ave,41.9394,-87.7236,member,901
Avondale Ave & Irving Park Rd,41.9534,-87.732,casual,358
Avondale Ave & Irving Park Rd,41.9534,-87.732,member,1474
Bennett Ave & 79th St,41.7518,-87.5785,casual,13
