start_station_name,start_lat,start_lng,casual,member
2112 W Peterson Ave,41.9912,-87.6836,127.0,372.0
63rd St Beach,41.781,-87.5761,693.0,500.0
900 W Harrison St,41.8748,-87.6498,979.0,6018.0
Aberdeen St & Jackson Blvd,41.8777,-87.6548,1291.0,10740.0
Aberdeen St & Monroe St,41.8804,-87.6555,1274.0,8403.0
Aberdeen St & Randolph St,41.8841,-87.6543,1727.0,8830.0
Ada St & Washington Blvd,41.8828,-87.6612,774.0,6914.0
Adler Planetarium,41.8661,-87.6073,12029.0,4939.0
Albany Ave & 26th St,41.8445,-87.702,79.0,144.0
Albany Ave & Bloomingdale Ave,41.914,-87.7051,1055.0,2843.0
Albany Ave & Montrose Ave,41.961,-87.7059,271.0,753.0
Archer (Damen) Ave & 37th St,41.8267,-87.6831,97.0,363.0
Artesian Ave & Hubbard St,41.8895,-87.6882,511.0,6012.0
Ashland Ave & 13th St,41.8652,-87.6665,152.0,1937.0
Ashland Ave & 50th St,41.803,-87.6647,37.0,52.0
Ashland Ave & 63rd St,41.7794,-87.6648,16.0,51.0
Ashland Ave & Archer Ave,41.8392,-87.6656,188.0,439.0
Ashland Ave & Augusta Blvd,41.8996,-87.6677,602.0,4697.0
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,509.0,2293.0
Ashland Ave & Blackhawk St,41.9071,-87.6673,973.0,5657.0
Ashland Ave & Chicago Ave,41.896,-87.6677,940.0,4690.0
Ashland Ave & Division St,41.9035,-87.6677,3058.0,16288.0
Ashland Ave & Garfield Blvd,41.7928,-87.6644,10.0,143.0
Ashland Ave & Grace St,41.9507,-87.6687,728.0,4011.0
Ashland Ave & Grand Ave,41.8911,-87.6666,547.0,4030.0
Ashland Ave & Lake St,41.8859,-87.6672,609.0,3741.0
Ashland Ave & McDowell Ave,41.8089,-87.6645,42.0,521.0
Ashland Ave & Pershing Rd,41.8235,-87.6656,64.0,304.0
Ashland Ave & Wellington Ave,41.9361,-87.6698,541.0,3136.0
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,951.0,4318.0
Austin Blvd & Chicago Ave,41.8949,-87.7747,57.0,71.0
Austin Blvd & Lake St,41.8879,-87.7744,142.0,286.0
Austin Blvd & Madison St,41.8803,-87.7745,84.0,103.0
Avers Ave & Belmont Ave,41.9394,-87.7236,305.0,901.0
Avondale Ave & Irving Park Rd,41.9534,-87.732,358.0,1474.0
Bennett Ave & 79th St,41.7518,-87.5785,13.0,29.0
Benson Ave & Church St,42.0482,-87.6835,1127.0,4184.0
Bernard St & Elston Ave,41.9499,-87.7139,107.0,553.0
Bissell St & Armitage Ave,41.9184,-87.6522,2396.0,12966.0
Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,738.0,2728.0
Blue Island Ave & 18th St,41.8576,-87.6615,785.0,5489.0
Bosworth Ave & Howard St,42.0195,-87.6696,80.0,386.0
Broadway & Argyle St,41.9738,-87.6597,1130.0,4275.0
Broadway & Barry Ave,41.9377,-87.6441,4187.0,13983.0
Broadway & Belmont Ave,41.9401,-87.6455,2759.0,8151.0
Broadway & Berwyn Ave,41.9784,-87.6598,1085.0,4356.0
Broadway & Cornelia Ave,41.9455,-87.6464,3025.0,9450.0
Broadway & Granville Ave,41.9948,-87.6603,1648.0,2811.0
Broadway & Ridge Ave,41.984,-87.6603,932.0,3503.0
Broadway & Sheridan Rd,41.9528,-87.65,1613.0,6892.0
Broadway & Thorndale Ave,41.9897,-87.6601,1403.0,2974.0
Broadway & Waveland Ave,41.9491,-87.6486,2001.0,9089.0
Broadway & Wilson Ave,41.9652,-87.6581,1242.0,6337.0
Buckingham Fountain,41.8765,-87.6205,3951.0,2732.0
Budlong Woods Library,41.9837,-87.6964,202.0,314.0
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,1357.0,8491.0
Burnham Harbor,41.8563,-87.6133,3444.0,7661.0
California Ave & 21st St,41.8538,-87.6957,179.0,691.0
California Ave & 23rd Pl,41.8491,-87.6951,85.0,809.0
California Ave & 26th St,41.844,-87.6953,46.0,121.0
California Ave & Altgeld St,41.9267,-87.6977,448.0,2097.0
California Ave & Byron St,41.9522,-87.6981,388.0,786.0
California Ave & Cortez St,41.9004,-87.6967,671.0,3565.0
California Ave & Division St,41.903,-87.6975,631.0,1553.0
California Ave & Fletcher St,41.9384,-87.698,537.0,1230.0
California Ave & Francis Pl (Temp),41.9185,-87.6974,96.0,755.0
California Ave & Lake St,41.8845,-87.6963,115.0,650.0
California Ave & Milwaukee Ave,41.9227,-87.6972,1903.0,7170.0
California Ave & Montrose Ave,41.9611,-87.6954,514.0,1352.0
California Ave & North Ave,41.9104,-87.6972,592.0,2679.0
Calumet Ave & 18th St,41.8576,-87.6194,2375.0,5567.0
Calumet Ave & 21st St,41.8542,-87.6192,2038.0,1940.0
Calumet Ave & 33rd St,41.8349,-87.6179,309.0,2801.0
Calumet Ave & 35th St,41.8314,-87.618,227.0,772.0
Calumet Ave & 51st St,41.8023,-87.6181,187.0,491.0
Calumet Ave & 71st St,41.7655,-87.6169,28.0,5.0
Campbell Ave & Fullerton Ave,41.9246,-87.6893,509.0,2060.0
Campbell Ave & Montrose Ave,41.9615,-87.6912,209.0,2233.0
Campbell Ave & North Ave,41.9105,-87.6896,829.0,3668.0
Canal St & Adams St,41.8793,-87.6399,3912.0,51901.0
Canal St & Harrison St,41.8743,-87.6396,289.0,3110.0
Canal St & Jackson Blvd,41.8772,-87.6394,1278.0,9336.0
Canal St & Madison St,41.8821,-87.6398,2724.0,26154.0
Canal St & Monroe St,41.8817,-87.6395,1039.0,11359.0
Canal St & Taylor St,41.8703,-87.6395,1436.0,6291.0
Cannon Dr & Fullerton Ave,41.9268,-87.6344,3644.0,2602.0
Carpenter St & 63rd St,41.7799,-87.6509,8.0,6.0
Carpenter St & Huron St,41.8946,-87.6534,983.0,6364.0
Central Ave & Chicago Ave,41.895,-87.7649,55.0,155.0
Central Ave & Harrison St,41.873,-87.7645,51.0,26.0
Central Ave & Lake St,41.8877,-87.7655,53.0,52.0
Central Ave & Madison St,41.8801,-87.7632,41.0,97.0
Central Park Ave & 24th St,41.8481,-87.7151,45.0,20.0
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,1069.0,998.0
Central Park Ave & Elbridge Ave,41.9353,-87.7169,265.0,1261.0
Central Park Ave & North Ave,41.9097,-87.7166,268.0,835.0
Central Park Ave & Ogden Ave,41.8542,-87.7154,95.0,148.0
Central Park Blvd & 5th Ave,41.8757,-87.7155,35.0,53.0
Central St & Girard Ave,42.0643,-87.6862,173.0,954.0
Central St Metra,42.0636,-87.6987,253.0,1231.0
Cherry Ave & Blackhawk St,41.9072,-87.6556,148.0,580.0
Chicago Ave & Dempster St,42.0417,-87.6807,457.0,1411.0
Chicago Ave & Sheridan Rd,42.0505,-87.6778,687.0,1300.0
Chicago Ave & Washington St,42.0326,-87.6791,474.0,2278.0
Christiana Ave & Lawrence Ave,41.9684,-87.7118,272.0,896.0
Cicero Ave & Flournoy St,41.8721,-87.7466,10.0,20.0
Cicero Ave & Lake St,41.8868,-87.7453,30.0,60.0
Cicero Ave & Quincy St,41.8776,-87.7454,35.0,20.0
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,4027.0,10870.0
