,date,count,mean,member_casual,sum
0,2019-04-01,415,2176.7614457831323,casual,903356.0
1,2019-04-01,415,2176.7614457831323,member,5911577.0
2,2019-04-01,415,827.3725682295311,casual,903356.0
3,2019-04-01,415,827.3725682295311,member,5911577.0
4,2019-04-02,510,1740.0901960784313,casual,887446.0
5,2019-04-02,510,1740.0901960784313,member,5573781.0
6,2019-04-02,510,680.891888590276,casual,887446.0
7,2019-04-02,510,680.891888590276,member,5573781.0
8,2019-04-03,717,9630.048814504882,casual,6904745.0
9,2019-04-03,717,9630.048814504882,member,7245128.0
10,2019-04-03,717,852.368,casual,6904745.0
11,2019-04-03,717,852.368,member,7245128.0
12,2019-04-04,151,1905.1854304635763,casual,287683.0
13,2019-04-04,151,1905.1854304635763,member,2779912.0
14,2019-04-04,151,614.4809902740938,casual,287683.0
15,2019-04-04,151,614.4809902740938,member,2779912.0
16,2019-04-05,981,3775.5830784913355,casual,3703847.0
17,2019-04-05,981,3775.5830784913355,member,5212822.0
18,2019-04-05,981,682.7533726260642,casual,3703847.0
19,2019-04-05,981,682.7533726260642,member,5212822.0
20,2019-04-06,3912,3417.961400817996,casual,13371065.0
21,2019-04-06,3912,3417.961400817996,member,5685068.0
22,2019-04-06,3912,913.9980707395498,casual,13371065.0
23,2019-04-06,3912,913.9980707395498,member,5685068.0
24,2019-04-07,2251,2711.5828520657487,casual,6103773.0
25,2019-04-07,2251,2711.5828520657487,member,5160934.0
26,2019-04-07,2251,1185.6039512979555,casual,6103773.0
27,2019-04-07,2251,1185.6039512979555,member,5160934.0
28,2019-04-08,2543,2557.2559968541095,casual,6503102.0
29,2019-04-08,2543,2557.2559968541095,member,10379482.0
30,2019-04-08,2543,910.1615222728867,casual,6503102.0
31,2019-04-08,2543,910.1615222728867,member,10379482.0
32,2019-04-09,2015,3701.7493796526055,casual,7459025.0
33,2019-04-09,2015,3701.7493796526055,member,9441677.0
34,2019-04-09,2015,834.6602722772277,casual,7459025.0
35,2019-04-09,2015,834.6602722772277,member,9441677.0
36,2019-04-10,250,1794.192,casual,448548.0
37,2019-04-10,250,1794.192,member,4720915.0
38,2019-04-10,250,791.8341160684334,casual,448548.0
39,2019-04-10,250,791.8341160684334,member,4720915.0
40,2019-04-11,655,1728.4106870229007,casual,1132109.0
41,2019-04-11,655,1728.4106870229007,member,5428862.0
42,2019-04-11,655,674.895822973645,casual,1132109.0
43,2019-04-11,655,674.895822973645,member,5428862.0
44,2019-04-12,875,6918.0388571428575,casual,6053284.0
45,2019-04-12,875,6918.0388571428575,member,5387640.0
46,2019-04-12,875,697.068184758701,casual,6053284.0
