date,casual,member
2019-04-01,415,7145
2019-04-02,510,8186
2019-04-03,717,8500
2019-04-04,151,4524
2019-04-05,981,7635
2019-04-06,3912,6220
2019-04-07,2251,4353
2019-04-08,2543,11404
2019-04-09,2015,11312
2019-04-10,250,5962
2019-04-11,655,8044
2019-04-12,875,7729
2019-04-13,3010,5353
2019-04-14,67,625
2019-04-15,1071,7635
2019-04-16,1820,10359
2019-04-17,1799,10668
2019-04-18,350,6128
2019-04-19,785,5730
2019-04-20,3242,4910
2019-04-21,6696,6463
2019-04-22,3801,10816
2019-04-23,1125,9904
2019-04-24,1358,10722
2019-04-25,1564,11082
2019-04-26,3052,10674
2019-04-27,193,1440
2019-04-28,2096,4539
2019-04-29,313,4856
2019-04-30,127,4648
2019-05-01,747,8107
2019-05-02,282,5782
2019-05-03,1445,8809
2019-05-04,4579,6791
2019-05-05,7682,8688
2019-05-06,1055,9696
2019-05-07,487,7586
2019-05-08,1029,9774
2019-05-09,1452,10235
2019-05-10,1838,9603
2019-05-11,1365,3760
2019-05-12,1299,3640
2019-05-13,1683,10962
2019-05-14,2193,12780
2019-05-15,2811,13646
2019-05-16,1844,12143
2019-05-17,905,8296
2019-05-18,4060,6305
2019-05-19,3460,6054
2019-05-20,1686,10516
2019-05-21,573,7813
2019-05-22,3462,13640
2019-05-23,3730,14269
2019-05-24,2465,8836
2019-05-25,8395,8087
2019-05-26,6817,5944
2019-05-27,3152,4171
2019-05-28,1200,9675
2019-05-29,2056,12661
2019-05-30,2762,13509
2019-05-31,5110,14056
2019-06-01,3871,7421
2019-06-02,7030,9143
2019-06-03,2848,12502
2019-06-04,2672,13206
2019-06-05,3187,13617
2019-06-06,2811,13993
2019-06-07,4552,13849
2019-06-08,8613,10153
2019-06-09,3366,6272
2019-06-10,3716,13925
2019-06-11,3939,15115
2019-06-12,1204,10521
2019-06-13,2541,12274
2019-06-14,5272,13661
2019-06-15,2720,4956
2019-06-16,3312,6198
2019-06-17,2523,12760
2019-06-18,3634,13724
2019-06-19,1789,12105
2019-06-20,2373,11080
2019-06-21,4677,13262
2019-06-22,9932,10009
2019-06-23,4731,6374
2019-06-24,2771,12478
2019-06-25,5271,15213
2019-06-26,4492,15380
2019-06-27,4256,14886
2019-06-28,4651,13264
2019-06-29,10939,10479
2019-06-30,6525,7357
2019-07-01,4879,14402
2019-07-02,3014,12694
2019-07-03,4665,13473
2019-07-04,9396,7778
