date,casual,member,total
2019-04-01,903356.0,5911577.0,6814933.0
2019-04-02,887446.0,5573781.0,6461227.0
2019-04-03,6904745.0,7245128.0,14149873.0
2019-04-04,287683.0,2779912.0,3067595.0
2019-04-05,3703847.0,5212822.0,8916669.0
2019-04-06,13371065.0,5685068.0,19056133.0
2019-04-07,6103773.0,5160934.0,11264707.0
2019-04-08,6503102.0,10379482.0,16882584.0
2019-04-09,7459025.0,9441677.0,16900702.0
2019-04-10,448548.0,4720915.0,5169463.0
2019-04-11,1132109.0,5428862.0,6560971.0
2019-04-12,6053284.0,5387640.0,11440924.0
2019-04-13,8124640.0,4575992.0,12700632.0
2019-04-14,270944.0,363528.0,634472.0
2019-04-15,2504729.0,5250546.0,7755275.0
2019-04-16,5110407.0,8043863.0,13154270.0
2019-04-17,5105295.0,8483347.0,13588642.0
2019-04-18,861919.0,4345547.0,5207466.0
2019-04-19,1508531.0,8224574.0,9733105.0
2019-04-20,11570551.0,3994250.0,15564801.0
2019-04-21,21045668.0,6861358.0,27907026.0
2019-04-22,10500008.0,9035766.0,19535774.0
2019-04-23,2432294.0,7925870.0,10358164.0
2019-04-24,3811095.0,7934032.0,11745127.0
2019-04-25,3445962.0,8162972.0,11608934.0
2019-04-26,8907256.0,8352876.0,17260132.0
2019-04-27,1219428.0,890963.0,2110391.0
2019-04-28,4871935.0,3600730.0,8472665.0
2019-04-29,615828.0,4517265.0,5133093.0
2019-04-30,267314.0,2904171.0,3171485.0
2019-05-01,2737298.0,6496253.0,9233551.0
2019-05-02,511418.0,3901071.0,4412489.0
2019-05-03,3330241.0,6397942.0,9728183.0
2019-05-04,21736576.0,5855229.0,27591805.0
2019-05-05,25577715.0,8722809.0,34300524.0
2019-05-06,3384899.0,7119770.0,10504669.0
2019-05-07,837343.0,5375100.0,6212443.0
2019-05-08,3184912.0,8067871.0,11252783.0
2019-05-09,3692446.0,9937590.0,13630036.0
2019-05-10,4014977.0,7138485.0,11153462.0
2019-05-11,3712383.0,2629109.0,6341492.0
