tot,count
Streeter Dr & Grand Ave,81799
Canal St & Adams St,51659
Clinton St & Washington Blvd,50114
Clinton St & Madison St,47257
Lake Shore Dr & North Blvd,42874
Lake Shore Dr & Monroe St,41333
Michigan Ave & Washington St,40132
Michigan Ave & Oak St,38364
Millennium Park,38056
Theater on the Lake,36586
Daley Center Plaza,33387
Kingsbury St & Kinzie St,32706
Franklin St & Monroe St,30500
Clark St & Elm St,27886
Canal St & Madison St,27397
St. Clair St & Erie St,25783
Dearborn St & Erie St,25262
Wabash Ave & Grand Ave,24704
Columbus Dr & Randolph St,24348
Clinton St & Lake St,23657
Larrabee St & Kingsbury St,23595
LaSalle St & Jackson Blvd,23388
Wells St & Concord Ln,22854
Clark St & Armitage Ave,22774
Michigan Ave & Lake St,22754
Wells St & Huron St,22419
Shedd Aquarium,22382
Wabash Ave & Roosevelt Rd,22119
Damen Ave & Pierce Ave,21308
Indiana Ave & Roosevelt Rd,21179
Fairbanks Ct & Grand Ave,20933
Wells St & Hubbard St,20613
Orleans St & Merchandise Mart Plaza,20538
Ashland Ave & Division St,20396
LaSalle St & Illinois St,20239
McClurg Ct & Illinois St,20168
Clark St & Lincoln Ave,20163
Morgan St & Lake St,20002
State St & Kinzie St,19660
Broadway & Barry Ave,19408
State St & Randolph St,19405
Dearborn St & Monroe St,19248
Desplaines St & Kinzie St,19156
Wilton Ave & Belmont Ave,18872
Franklin St & Jackson Blvd,18816
Dearborn Pkwy & Delaware Pl,17963
Sheffield Ave & Fullerton Ave,17632
Green St & Madison St,17621
Kingsbury St & Erie St,17058
Bissell St & Armitage Ave,16455
Clark St & Drummond Pl,16214
Wilton Ave & Diversey Pkwy,16197
Clark St & Wrightwood Ave,15997
Clark St & Randolph St,15706
Adler Planetarium,15650
Lakeview Ave & Fullerton Pkwy,15419
Michigan Ave & Jackson Blvd,15355
Green St & Randolph St,15350
Clark St & Lake St,15315
Wells St & Elm St,15283
Sheffield Ave & Waveland Ave,15283
McClurg Ct & Erie St,15231
Ravenswood Ave & Lawrence Ave,14940
Lake Shore Dr & Ohio St,14871
Lincoln Ave & Fullerton Ave,14598
Dusable Harbor,14595
Wacker Dr & Washington St,14528
Wells St & Evergreen Ave,14491
Milwaukee Ave & Grand Ave,14399
Lake Shore Dr & Belmont Ave,14166
Southport Ave & Roscoe St,14143
Franklin St & Lake St,14132
Rush St & Superior St,14092
Clinton St & Jackson Blvd,14086
Marshfield Ave & Cortland St,14074
Michigan Ave & 8th St,13907
Sedgwick St & Huron St,13864
Desplaines St & Jackson Blvd,13862
Sedgwick St & North Ave,13693
Loomis St & Lexington St,13611
Sheffield Ave & Wellington Ave,13588
Montrose Harbor,13556
Mies van der Rohe Way & Chestnut St,13504
Lake Shore Dr & Wellington Ave,13405
Morgan St & Polk St,13261
Larrabee St & Webster Ave,13241
Rush St & Cedar St,13184
Peoria St & Jackson Blvd,13145
Cityfront Plaza Dr & Pioneer Ct,13079
Rush St & Hubbard St,13013
Wabash Ave & 9th St,12937
Lake Shore Dr & Diversey Pkwy,12818
Sheffield Ave & Kingsbury St,12755
Broadway & Cornelia Ave,12690
Pine Grove Ave & Waveland Ave,12546
Mies van der Rohe Way & Chicago Ave,12521
Sheridan Rd & Irving Park Rd,12515
Clark St & Schiller St,12453
University Ave & 57th St,12368
Federal St & Polk St,12334
Wabash Ave & Wacker Pl,12276
Sheffield Ave & Webster Ave,12228
Aberdeen St & Jackson Blvd,12148
Sedgwick St & Webster Ave,12004
Halsted St & Clybourn Ave,11957
Stockton Dr & Wrightwood Ave,11853
Clark St & Wellington Ave,11809
Southport Ave & Waveland Ave,11762
Broadway & Belmont Ave,11738
Broadway & Waveland Ave,11732
Halsted St & Dickens Ave,11646
Clark St & Ida B Wells Dr,11638
Burnham Harbor,11453
Dearborn St & Adams St,11363
Michigan Ave & Madison St,11339
Wabash Ave & Adams St,11239
Wood St & Milwaukee Ave,11153
Halsted St & Roscoe St,10990
Stetson Ave & South Water St,10832
Desplaines St & Randolph St,10827
Michigan Ave & Pearson St,10789
Aberdeen St & Randolph St,10611
LaSalle St & Washington St,10605
Milwaukee Ave & Wabansia Ave,10432
State St & Pearson St,10371
Field Blvd & South Water St,10329
Lakefront Trail & Bryn Mawr Ave,10308
Burling St (Halsted) & Diversey Pkwy (Temp),10291
Wabash Ave & 16th St,10281
Damen Ave & Chicago Ave,10199
State St & Van Buren St,10172
Kedzie Ave & Milwaukee Ave,10142
Canal St & Jackson Blvd,10103
Ogden Ave & Chicago Ave,10080
Michigan Ave & 18th St,10030
Dayton St & North Ave,9956
Southport Ave & Wellington Ave,9893
Clark St & North Ave,9801
Clark St & Chicago Ave,9753
Aberdeen St & Monroe St,9718
Racine Ave & Fullerton Ave,9716
Halsted St & Wrightwood Ave,9680
Sheffield Ave & Willow St,9617
Lincoln Ave & Roscoe St,9586
Pine Grove Ave & Irving Park Rd,9375
Larrabee St & Division St,9297
Michigan Ave & 14th St,9289
Clark St & Newport St,9202
Damen Ave & Cortland St,9147
Wolcott Ave & Polk St,9022
California Ave & Milwaukee Ave,8956
Southport Ave & Clybourn Ave,8941
Sheffield Ave & Wrightwood Ave,8915
Kimbark Ave & 53rd St,8870
Ellis Ave & 55th St,8829
Western Ave & Winnebago Ave,8701
Canal St & Monroe St,8633
Jefferson St & Monroe St,8611
Ogden Ave & Race Ave,8519
Larrabee St & Oak St,8411
Calumet Ave & 18th St,8358
Sheridan Rd & Montrose Ave,8328
Honore St & Division St,8302
Ritchie Ct & Banks St,8266
Clifton Ave & Armitage Ave,8260
Broadway & Sheridan Rd,8241
Franklin St & Chicago Ave,8202
Wells St & Polk St,8129
Clark St & Winnemac Ave,8102
Halsted St & Polk St,8089
Ada St & Washington Blvd,8053
Broadway & Wilson Ave,8041
Damen Ave & Division St,8034
Michigan Ave & Ida B Wells Dr,7886
Lincoln Ave & Diversey Pkwy,7873
Greenview Ave & Fullerton Ave,7862
Clarendon Ave & Gordon Ter,7861
Canal St & Taylor St,7829
Fort Dearborn Dr & 31st St,7773
Racine Ave & Belmont Ave,7742
Clark St & Grace St,7709
State St & Harrison St,7686
Field Museum,7681
May St & Taylor St,7671
Orleans St & Chestnut St (NEXT Apts),7616
Clark St & Berwyn Ave,7616
Ellis Ave & 60th St,7592
Shore Dr & 55th St,7551
Halsted St & Willow St,7461
MLK Jr Dr & 29th St,7453
Larrabee St & Armitage Ave,7441
LaSalle Dr & Huron St,7247
Carpenter St & Huron St,7144
Halsted St & Maxwell St,7114
Lincoln Ave & Belmont Ave,6968
Cannon Dr & Fullerton Ave,6959
Ashland Ave & Blackhawk St,6942
Halsted St & Roosevelt Rd,6932
Southport Ave & Wrightwood Ave,6907
Paulina Ave & North Ave,6790
Clinton St & Tilden St,6748
900 W Harrison St,6713
State St & 33rd St,6656
Franklin St & Adams St (Temp),6650
Blue Island Ave & 18th St,6640
Eckhart Park,6537
LaSalle St & Adams St,6527
Clinton St & Jackson Blvd (*),6433
Clinton St & Roosevelt Rd,6370
Lakefront Trail & Wilson Ave,6298
Noble St & Milwaukee Ave,6289
Western Ave & Walton St,6250
Racine Ave & Congress Pkwy,6179
Racine Ave & Randolph St,6077
Damen Ave & Thomas St (Augusta Blvd),6068
Wells St & Walton St,6049
Clybourn Ave & Division St,6048
Southport Ave & Belmont Ave,6026
Cornell Ave & Hyde Park Blvd,6018
Delano Ct & Roosevelt Rd,5946
Clarendon Ave & Junior Ter,5829
Orleans St & Hubbard St,5812
Ashland Ave & Chicago Ave,5808
Broadway & Berwyn Ave,5792
Sangamon St & Washington Blvd,5750
Western Ave & Leland Ave,5747
Wood St & Taylor St,5706
Ellis Ave & 58th St,5699
Broadway & Argyle St,5671
Clark St & Leland Ave,5625
Wood St & Chicago Ave (*),5607
Lake Park Ave & 56th St,5550
Southport Ave & Irving Park Rd,5500
Financial Pl & Ida B Wells Dr,5472
Ashland Ave & Wrightwood Ave,5447
Paulina St & Flournoy St,5410
Marine Dr & Ainslie St,5400
Damen Ave & Leland Ave,5396
Racine Ave & Wrightwood Ave,5386
McCormick Place,5335
Buckingham Fountain,5308
Benson Ave & Church St,5296
Franklin St & Illinois St,5289
Wood St & Augusta Blvd,5253
Franklin St & Chicago Ave (Temp),5155
Leavitt St & North Ave,5150
Ashland Ave & Augusta Blvd,5119
Racine Ave & 18th St,5093
Larrabee St & Menomonee St,5047
Fairbanks St & Superior St,4946
Wentworth Ave & Cermak Rd (Temp),4863
Broadway & Thorndale Ave,4849
Damen Ave & Grand Ave,4796
Ravenswood Ave & Irving Park Rd,4776
Halsted St & Clybourn Ave (*),4750
Lincoln Ave & Sunnyside Ave,4746
Hermitage Ave & Polk St,4728
Ashland Ave & Grand Ave,4708
Broadway & Granville Ave,4697
Dearborn St & Van Buren St,4680
Ashland Ave & Grace St,4647
Campbell Ave & North Ave,4573
Sheridan Rd & Buena Ave,4569
Broadway & Ridge Ave,4562
Lincoln Ave & Belle Plaine Ave,4546
Clark St & Bryn Mawr Ave,4529
Western Ave & Division St,4504
Morgan St & 18th St,4501
Logan Blvd & Elston Ave,4480
Lincoln Ave & Waveland Ave,4470
Artesian Ave & Hubbard St,4441
Greenview Ave & Diversey Pkwy,4412
Racine Ave & Washington Blvd (*),4382
Morgan Ave & 14th Pl,4354
California Ave & Cortez St,4340
Lake Park Ave & 53rd St,4338
Clark St & Montrose Ave,4316
Ellis Ave & 53rd St,4313
Damen Ave & Charleston St,4310
Clark St & 9th St (AMLI),4309
Winthrop Ave & Lawrence Ave,4272
Calumet Ave & 21st St,4237
Woodlawn Ave & 55th St,4194
Loomis St & Jackson Blvd,4193
Lincoln Park Conservatory,4124
Ashland Ave & Wellington Ave,4122
Wood St & Hubbard St,4097
Buckingham Fountain (Temp),4080
Throop (Loomis) St & Taylor St,4072
Elizabeth (May) St & Fulton St,4045
Sheridan Rd & Loyola Ave,4027
Larrabee St & North Ave,4024
Humboldt Blvd & Armitage Ave,3989
Leavitt St & Chicago Ave,3909
Sedgwick St & Schiller St,3905
Albany Ave & Bloomingdale Ave,3857
Kedzie Ave & Palmer Ct,3848
Leavitt St & Armitage Ave,3817
Paulina St & 18th St,3815
Damen Ave & Clybourn Ave,3796
Damen Ave & Foster Ave,3773
