end_station_name,end_lat,end_lng,count
2112 W Peterson Ave,41.9912,-87.6836,614
63rd St Beach,41.781,-87.5761,1177
900 W Harrison St,41.8748,-87.6498,6713
Aberdeen St & Jackson Blvd,41.8777,-87.6548,12148
Aberdeen St & Monroe St,41.8804,-87.6555,9718
Aberdeen St & Randolph St,41.8841,-87.6543,10611
Ada St & Washington Blvd,41.8828,-87.6612,8053
Adler Planetarium,41.8661,-87.6073,15650
Albany Ave & 26th St,41.8445,-87.702,213
Albany Ave & Bloomingdale Ave,41.914,-87.7051,3857
Albany Ave & Montrose Ave,41.961,-87.7059,1187
Archer (Damen) Ave & 37th St,41.8267,-87.6831,529
Artesian Ave & Hubbard St,41.8895,-87.6882,4441
Ashland Ave & 13th St,41.8652,-87.6665,2482
Ashland Ave & 50th St,41.803,-87.6647,133
Ashland Ave & 63rd St,41.7794,-87.6648,87
Ashland Ave & 69th St,41.7687,-87.6641,61
Ashland Ave & Archer Ave,41.8392,-87.6656,536
Ashland Ave & Augusta Blvd,41.8996,-87.6677,5119
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,2739
Ashland Ave & Blackhawk St,41.9071,-87.6673,6942
Ashland Ave & Chicago Ave,41.896,-87.6677,5808
Ashland Ave & Division St,41.9035,-87.6677,20396
Ashland Ave & Garfield Blvd,41.7928,-87.6644,135
Ashland Ave & Grace St,41.9507,-87.6687,4647
Ashland Ave & Grand Ave,41.8911,-87.6666,4708
Ashland Ave & Lake St,41.8859,-87.6672,3709
Ashland Ave & McDowell Ave,41.8089,-87.6645,577
Ashland Ave & Pershing Rd,41.8235,-87.6656,406
Ashland Ave & Wellington Ave,41.9361,-87.6698,4122
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,5447
Austin Blvd & Chicago Ave,41.8949,-87.7747,193
Austin Blvd & Lake St,41.8879,-87.7744,434
Austin Blvd & Madison St,41.8803,-87.7745,138
Avers Ave & Belmont Ave,41.9394,-87.7236,1236
Avondale Ave & Irving Park Rd,41.9534,-87.732,1714
Bennett Ave & 79th St,41.7518,-87.5785,44
Benson Ave & Church St,42.0482,-87.6835,5296
Bernard St & Elston Ave,41.9499,-87.7139,678
Bissell St & Armitage Ave,41.9184,-87.6522,16455
Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,3401
Blue Island Ave & 18th St,41.8576,-87.6615,6640
