ride_id,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,member_casual,quarter,starting_time,ending_time,date,month,day,year,day_of_week,reverse,no_time,same_station,errors,trip_duration,short_trip,user_error
279F7DB076FD4444,2020-01-09 21:00:22,2020-04-27 12:30:46,Stony Island Ave & 75th St,270,South Shore Dr & 67th St,355.0,casual,1,2020-01-09 21:00:22,2020-04-27 12:30:46,2020-01-09,01,09,2020,Thursday,No,No,No,No,9387024.0,No,No
23798837,2019-07-16 18:17:58,2019-10-29 14:01:52,Ellis Ave & 53rd St,418,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671.0,member,3,2019-07-16 18:17:58,2019-10-29 14:01:52,2019-07-16,07,16,2019,Tuesday,No,No,No,No,9056634.0,No,No
377B59F0A27BB4CB,2020-02-02 17:18:57,2020-05-12 16:15:42,Drake Ave & Fullerton Ave,503,Noble St & Milwaukee Ave,29.0,casual,1,2020-02-02 17:18:57,2020-05-12 16:15:42,2020-02-02,02,02,2020,Sunday,No,No,No,No,8636205.0,No,No
25302386,2019-10-06 13:57:02,2020-01-13 21:55:24,Kedzie Ave & Roosevelt Rd,435,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671.0,casual,4,2019-10-06 13:57:02,2020-01-13 21:55:24,2019-10-06,10,06,2019,Sunday,No,No,No,No,8582302.0,No,No
23889502,2019-07-22 12:09:36,2019-10-25 10:56:54,Sheridan Rd & Loyola Ave,451,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671.0,member,3,2019-07-22 12:09:36,2019-10-25 10:56:54,2019-07-22,07,22,2019,Monday,No,No,No,No,8203638.0,No,No
25487192,2019-10-19 15:14:50,2020-01-21 13:54:35,Cicero Ave & Lake St,529,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671.0,casual,4,2019-10-19 15:14:50,2020-01-21 13:54:35,2019-10-19,10,19,2019,Saturday,No,No,No,No,8116785.0,No,No
23710210,2019-07-12 13:08:10,2019-10-12 10:32:18,Wood St & Taylor St,317,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671.0,casual,3,2019-07-12 13:08:10,2019-10-12 10:32:18,2019-07-12,07,12,2019,Friday,No,No,No,No,7939448.0,No,No
24107150,2019-08-01 18:45:47,2019-10-29 12:36:57,Rush St & Superior St,161,Knox Ave & Montrose Ave,592.0,casual,3,2019-08-01 18:45:47,2019-10-29 12:36:57,2019-08-01,08,01,2019,Thursday,No,No,No,No,7667470.0,No,No
23661214,2019-07-10 10:25:13,2019-10-06 11:26:25,Morgan St & Lake St,71,Wilton Ave & Belmont Ave,117.0,casual,3,2019-07-10 10:25:13,2019-10-06 11:26:25,2019-07-10,07,10,2019,Wednesday,No,No,No,No,7606872.0,No,No
23648641,2019-07-09 17:28:05,2019-10-04 18:55:47,Cornell Ave & Hyde Park Blvd,417,Paulina St & 18th St,205.0,casual,3,2019-07-09 17:28:05,2019-10-04 18:55:47,2019-07-09,07,09,2019,Tuesday,No,No,No,No,7522062.0,No,No
23801970,2019-07-16 20:44:13,2019-10-10 18:01:25,Lake Park Ave & 53rd St,419,Wentworth Ave & 63rd St,390.0,casual,3,2019-07-16 20:44:13,2019-10-10 18:01:25,2019-07-16,07,16,2019,Tuesday,No,No,No,No,7420632.0,No,No
24194299,2019-08-05 17:13:20,2019-10-28 14:29:10,Michigan Ave & 8th St,623,Franklin St & Lake St,164.0,casual,3,2019-08-05 17:13:20,2019-10-28 14:29:10,2019-08-05,08,05,2019,Monday,No,No,No,No,7247750.0,No,No
ABA59A8FED82A85C,2020-02-28 08:47:09,2020-05-19 20:10:34,Oakley Ave & Touhy Ave,526,Clark St & Schreiber Ave,453.0,casual,1,2020-02-28 08:47:09,2020-05-19 20:10:34,2020-02-28,02,28,2020,Friday,No,No,No,No,7039405.0,No,No
23723936,2019-07-12 22:44:18,2019-10-01 09:44:05,Financial Pl & Ida B Wells Dr,89,McCormick Place,62.0,casual,3,2019-07-12 22:44:18,2019-10-01 09:44:05,2019-07-12,07,12,2019,Friday,No,No,No,No,6951587.0,No,No
