tot,count
Streeter Dr & Grand Ave,68358
Canal St & Adams St,55813
Lake Shore Dr & Monroe St,50518
Clinton St & Madison St,50091
Clinton St & Washington Blvd,46356
Columbus Dr & Randolph St,38913
Michigan Ave & Washington St,37223
Michigan Ave & Oak St,35944
Lake Shore Dr & North Blvd,34982
Millennium Park,34526
Franklin St & Monroe St,34455
Daley Center Plaza,34135
Kingsbury St & Kinzie St,33299
Theater on the Lake,32656
Canal St & Madison St,28878
Shedd Aquarium,26638
Clark St & Elm St,26454
LaSalle St & Jackson Blvd,25270
Wells St & Huron St,24848
Wabash Ave & Grand Ave,24805
Dearborn St & Erie St,24777
Orleans St & Merchandise Mart Plaza,23995
Clinton St & Lake St,23848
Wells St & Concord Ln,23535
Larrabee St & Kingsbury St,23088
Michigan Ave & Lake St,22840
Desplaines St & Kinzie St,22478
St. Clair St & Erie St,22383
Clark St & Armitage Ave,21897
Indiana Ave & Roosevelt Rd,21763
Wells St & Hubbard St,20830
Fairbanks Ct & Grand Ave,20661
Dearborn St & Monroe St,20302
McClurg Ct & Illinois St,20277
Wabash Ave & Roosevelt Rd,20198
Franklin St & Jackson Blvd,19985
Clark St & Lincoln Ave,19938
Damen Ave & Pierce Ave,19876
State St & Randolph St,19697
Ashland Ave & Division St,19346
Kingsbury St & Erie St,19153
Wilton Ave & Belmont Ave,18866
State St & Kinzie St,18722
LaSalle St & Illinois St,18377
Morgan St & Lake St,18244
Sheffield Ave & Fullerton Ave,18218
Broadway & Barry Ave,18170
Dusable Harbor,17465
Dearborn Pkwy & Delaware Pl,17062
Adler Planetarium,16968
Green St & Madison St,16244
Clark St & Randolph St,16006
Clark St & Lake St,15839
Wells St & Elm St,15813
Wacker Dr & Washington St,15806
McClurg Ct & Erie St,15785
Wilton Ave & Diversey Pkwy,15702
Michigan Ave & Jackson Blvd,15673
Clark St & Wrightwood Ave,15656
Franklin St & Lake St,15535
Milwaukee Ave & Grand Ave,15467
Bissell St & Armitage Ave,15362
Michigan Ave & 8th St,15143
Wells St & Evergreen Ave,15079
Ravenswood Ave & Lawrence Ave,15076
Marshfield Ave & Cortland St,15056
Lake Shore Dr & Ohio St,14906
Cityfront Plaza Dr & Pioneer Ct,14897
Lakeview Ave & Fullerton Pkwy,14752
Sedgwick St & Huron St,14583
Mies van der Rohe Way & Chestnut St,14480
Desplaines St & Jackson Blvd,14362
Sedgwick St & North Ave,14324
Rush St & Superior St,14237
Clinton St & Jackson Blvd,14213
Green St & Randolph St,14139
Clark St & Schiller St,14015
Lincoln Ave & Fullerton Ave,14001
Montrose Harbor,13884
Lake Shore Dr & Belmont Ave,13881
Loomis St & Lexington St,13806
Peoria St & Jackson Blvd,13654
Morgan St & Polk St,13543
Clark St & Drummond Pl,13210
Larrabee St & Webster Ave,13138
Rush St & Cedar St,12993
Lake Shore Dr & Wellington Ave,12903
Wabash Ave & 9th St,12899
Southport Ave & Roscoe St,12596
Stetson Ave & South Water St,12591
Sheridan Rd & Irving Park Rd,12583
Mies van der Rohe Way & Chicago Ave,12581
Sheffield Ave & Wellington Ave,12560
Broadway & Cornelia Ave,12475
University Ave & 57th St,12424
Canal St & Monroe St,12398
Sheffield Ave & Waveland Ave,12368
Lake Shore Dr & Diversey Pkwy,12273
Federal St & Polk St,12241
Pine Grove Ave & Waveland Ave,12231
Wabash Ave & Wacker Pl,12076
Sheffield Ave & Kingsbury St,12054
Aberdeen St & Jackson Blvd,12031
Dearborn St & Adams St,12021
Clark St & Ida B Wells Dr,12017
Sedgwick St & Webster Ave,11928
Sheffield Ave & Webster Ave,11815
Halsted St & Clybourn Ave,11811
Desplaines St & Randolph St,11638
State St & Pearson St,11458
Clark St & Wellington Ave,11441
Wabash Ave & Adams St,11384
LaSalle St & Washington St,11344
Michigan Ave & Madison St,11236
Southport Ave & Waveland Ave,11215
Stockton Dr & Wrightwood Ave,11191
Burnham Harbor,11105
Rush St & Hubbard St,11093
Broadway & Waveland Ave,11090
State St & Van Buren St,11060
Michigan Ave & Pearson St,10987
Halsted St & Dickens Ave,10928
Broadway & Belmont Ave,10910
Halsted St & Roscoe St,10694
Canal St & Jackson Blvd,10614
Aberdeen St & Randolph St,10557
Field Blvd & South Water St,10500
Clark St & Chicago Ave,10474
Wood St & Milwaukee Ave,10397
Ogden Ave & Chicago Ave,10144
Milwaukee Ave & Wabansia Ave,10120
Field Museum,10070
Larrabee St & Division St,10038
Southport Ave & Wellington Ave,9986
Lakefront Trail & Bryn Mawr Ave,9928
Dayton St & North Ave,9868
Burling St (Halsted) & Diversey Pkwy (Temp),9848
Halsted St & Wrightwood Ave,9735
Aberdeen St & Monroe St,9677
Pine Grove Ave & Irving Park Rd,9588
Clark St & North Ave,9526
Michigan Ave & 18th St,9482
Wolcott Ave & Polk St,9430
Sheffield Ave & Willow St,9426
Wabash Ave & 16th St,9411
Racine Ave & Fullerton Ave,9398
Damen Ave & Chicago Ave,9348
Clark St & Newport St,9230
Damen Ave & Cortland St,9171
Kedzie Ave & Milwaukee Ave,9089
California Ave & Milwaukee Ave,9073
Franklin St & Chicago Ave,9003
Michigan Ave & 14th St,8940
Ellis Ave & 55th St,8903
Jefferson St & Monroe St,8778
Sheffield Ave & Wrightwood Ave,8748
Wells St & Polk St,8720
Western Ave & Winnebago Ave,8715
Larrabee St & Oak St,8681
Kimbark Ave & 53rd St,8581
Southport Ave & Clybourn Ave,8578
Broadway & Sheridan Rd,8505
Ritchie Ct & Banks St,8457
Honore St & Division St,8440
Michigan Ave & Ida B Wells Dr,8389
Halsted St & Polk St,8356
Lincoln Ave & Roscoe St,8323
Orleans St & Chestnut St (NEXT Apts),8174
Ogden Ave & Race Ave,8142
Clark St & Winnemac Ave,8083
