station_name,count
Streeter Dr & Grand Ave,150157
Canal St & Adams St,107472
Clinton St & Madison St,97348
Clinton St & Washington Blvd,96470
Lake Shore Dr & Monroe St,91851
Lake Shore Dr & North Blvd,77856
Michigan Ave & Washington St,77355
Michigan Ave & Oak St,74308
Millennium Park,72582
Theater on the Lake,69242
Daley Center Plaza,67522
Kingsbury St & Kinzie St,66005
Franklin St & Monroe St,64955
Columbus Dr & Randolph St,63261
Canal St & Madison St,56275
Clark St & Elm St,54340
Dearborn St & Erie St,50039
Wabash Ave & Grand Ave,49509
Shedd Aquarium,49020
LaSalle St & Jackson Blvd,48658
St. Clair St & Erie St,48166
Clinton St & Lake St,47505
Wells St & Huron St,47267
Larrabee St & Kingsbury St,46683
Wells St & Concord Ln,46389
Michigan Ave & Lake St,45594
Clark St & Armitage Ave,44671
Orleans St & Merchandise Mart Plaza,44533
Indiana Ave & Roosevelt Rd,42942
Wabash Ave & Roosevelt Rd,42317
Desplaines St & Kinzie St,41634
Fairbanks Ct & Grand Ave,41594
Wells St & Hubbard St,41443
Damen Ave & Pierce Ave,41184
McClurg Ct & Illinois St,40445
Clark St & Lincoln Ave,40101
Ashland Ave & Division St,39742
Dearborn St & Monroe St,39550
State St & Randolph St,39102
Franklin St & Jackson Blvd,38801
LaSalle St & Illinois St,38616
State St & Kinzie St,38382
Morgan St & Lake St,38246
Wilton Ave & Belmont Ave,37738
Broadway & Barry Ave,37578
Kingsbury St & Erie St,36211
Sheffield Ave & Fullerton Ave,35850
Dearborn Pkwy & Delaware Pl,35025
Green St & Madison St,33865
Adler Planetarium,32618
Dusable Harbor,32060
Wilton Ave & Diversey Pkwy,31899
Bissell St & Armitage Ave,31817
Clark St & Randolph St,31712
Clark St & Wrightwood Ave,31653
Clark St & Lake St,31154
Wells St & Elm St,31096
Michigan Ave & Jackson Blvd,31028
McClurg Ct & Erie St,31016
Wacker Dr & Washington St,30334
Lakeview Ave & Fullerton Pkwy,30171
Ravenswood Ave & Lawrence Ave,30016
Milwaukee Ave & Grand Ave,29866
Lake Shore Dr & Ohio St,29777
Franklin St & Lake St,29667
Wells St & Evergreen Ave,29570
Green St & Randolph St,29489
Clark St & Drummond Pl,29424
Marshfield Ave & Cortland St,29130
Michigan Ave & 8th St,29050
Lincoln Ave & Fullerton Ave,28599
Sedgwick St & Huron St,28447
Rush St & Superior St,28329
Clinton St & Jackson Blvd,28299
Desplaines St & Jackson Blvd,28224
Lake Shore Dr & Belmont Ave,28047
Sedgwick St & North Ave,28017
Mies van der Rohe Way & Chestnut St,27984
Cityfront Plaza Dr & Pioneer Ct,27976
Sheffield Ave & Waveland Ave,27651
Montrose Harbor,27440
Loomis St & Lexington St,27417
Morgan St & Polk St,26804
Peoria St & Jackson Blvd,26799
Southport Ave & Roscoe St,26739
Clark St & Schiller St,26468
Larrabee St & Webster Ave,26379
Lake Shore Dr & Wellington Ave,26308
Rush St & Cedar St,26177
Sheffield Ave & Wellington Ave,26148
Wabash Ave & 9th St,25836
Broadway & Cornelia Ave,25165
Mies van der Rohe Way & Chicago Ave,25102
Sheridan Rd & Irving Park Rd,25098
Lake Shore Dr & Diversey Pkwy,25091
Sheffield Ave & Kingsbury St,24809
University Ave & 57th St,24792
Pine Grove Ave & Waveland Ave,24777
Federal St & Polk St,24575
Wabash Ave & Wacker Pl,24352
Aberdeen St & Jackson Blvd,24179
Rush St & Hubbard St,24106
Sheffield Ave & Webster Ave,24043
Sedgwick St & Webster Ave,23932
Halsted St & Clybourn Ave,23768
Clark St & Ida B Wells Dr,23655
Stetson Ave & South Water St,23423
Dearborn St & Adams St,23384
Clark St & Wellington Ave,23250
Stockton Dr & Wrightwood Ave,23044
Southport Ave & Waveland Ave,22977
Broadway & Waveland Ave,22822
Broadway & Belmont Ave,22648
Wabash Ave & Adams St,22623
Michigan Ave & Madison St,22575
Halsted St & Dickens Ave,22574
Burnham Harbor,22558
Desplaines St & Randolph St,22465
LaSalle St & Washington St,21949
State St & Pearson St,21829
Michigan Ave & Pearson St,21776
Halsted St & Roscoe St,21684
Wood St & Milwaukee Ave,21550
State St & Van Buren St,21232
Aberdeen St & Randolph St,21168
Canal St & Monroe St,21031
Field Blvd & South Water St,20829
Canal St & Jackson Blvd,20717
Milwaukee Ave & Wabansia Ave,20552
Lakefront Trail & Bryn Mawr Ave,20236
Clark St & Chicago Ave,20227
Ogden Ave & Chicago Ave,20224
Burling St (Halsted) & Diversey Pkwy (Temp),20139
Southport Ave & Wellington Ave,19879
Dayton St & North Ave,19824
Wabash Ave & 16th St,19692
Damen Ave & Chicago Ave,19547
Michigan Ave & 18th St,19512
Halsted St & Wrightwood Ave,19415
Aberdeen St & Monroe St,19395
Larrabee St & Division St,19335
Clark St & North Ave,19327
Kedzie Ave & Milwaukee Ave,19231
Racine Ave & Fullerton Ave,19114
Sheffield Ave & Willow St,19043
Pine Grove Ave & Irving Park Rd,18963
Wolcott Ave & Polk St,18452
Clark St & Newport St,18432
Damen Ave & Cortland St,18318
Michigan Ave & 14th St,18229
California Ave & Milwaukee Ave,18029
Lincoln Ave & Roscoe St,17909
Field Museum,17751
Ellis Ave & 55th St,17732
Sheffield Ave & Wrightwood Ave,17663
Southport Ave & Clybourn Ave,17519
Kimbark Ave & 53rd St,17451
Western Ave & Winnebago Ave,17416
Jefferson St & Monroe St,17389
Franklin St & Chicago Ave,17205
Larrabee St & Oak St,17092
Wells St & Polk St,16849
Broadway & Sheridan Rd,16746
Honore St & Division St,16742
Ritchie Ct & Banks St,16723
Ogden Ave & Race Ave,16661
Halsted St & Polk St,16445
Clifton Ave & Armitage Ave,16326
Calumet Ave & 18th St,16300
Michigan Ave & Ida B Wells Dr,16275
Clark St & Winnemac Ave,16185
Damen Ave & Division St,16024
Sheridan Rd & Montrose Ave,15875
Orleans St & Chestnut St (NEXT Apts),15790
Clark St & Grace St,15749
Ada St & Washington Blvd,15741
Clarendon Ave & Gordon Ter,15705
Broadway & Wilson Ave,15620
State St & Harrison St,15583
Canal St & Taylor St,15556
Lincoln Ave & Diversey Pkwy,15519
Ellis Ave & 60th St,15377
Fort Dearborn Dr & 31st St,15331
LaSalle Dr & Huron St,15239
Greenview Ave & Fullerton Ave,15210
Larrabee St & Armitage Ave,15162
Racine Ave & Belmont Ave,15162
May St & Taylor St,15098
MLK Jr Dr & 29th St,15092
Halsted St & Willow St,15069
Shore Dr & 55th St,14989
Clark St & Berwyn Ave,14623
Carpenter St & Huron St,14491
Halsted St & Maxwell St,14149
Franklin St & Adams St (Temp),13889
Wells St & Walton St,13870
Paulina Ave & North Ave,13770
Southport Ave & Wrightwood Ave,13753
Clinton St & Tilden St,13711
900 W Harrison St,13710
Lincoln Ave & Belmont Ave,13672
Ashland Ave & Blackhawk St,13572
Halsted St & Roosevelt Rd,13570
LaSalle St & Adams St,13285
Cannon Dr & Fullerton Ave,13205
State St & 33rd St,13168
Noble St & Milwaukee Ave,12920
Blue Island Ave & 18th St,12914
Eckhart Park,12874
Clinton St & Jackson Blvd (*),12620
Delano Ct & Roosevelt Rd,12543
Western Ave & Walton St,12520
Lakefront Trail & Wilson Ave,12508
Damen Ave & Thomas St (Augusta Blvd),12475
Racine Ave & Congress Pkwy,12444
Cornell Ave & Hyde Park Blvd,12288
Clinton St & Roosevelt Rd,12260
Clybourn Ave & Division St,12145
Buckingham Fountain,11991
Orleans St & Hubbard St,11787
Southport Ave & Belmont Ave,11786
Racine Ave & Randolph St,11733
Wood St & Taylor St,11727
Sangamon St & Washington Blvd,11675
Ellis Ave & 58th St,11446
Ashland Ave & Chicago Ave,11438
Financial Pl & Ida B Wells Dr,11367
Southport Ave & Irving Park Rd,11251
Broadway & Berwyn Ave,11233
Western Ave & Leland Ave,11220
Clark St & Leland Ave,11178
Clarendon Ave & Junior Ter,11173
Paulina St & Flournoy St,11114
Damen Ave & Leland Ave,11094
Lake Park Ave & 56th St,11085
Broadway & Argyle St,11076
Artesian Ave & Hubbard St,10964
McCormick Place,10892
Racine Ave & Wrightwood Ave,10843
Franklin St & Chicago Ave (Temp),10786
Wood St & Augusta Blvd,10751
Ashland Ave & Wrightwood Ave,10716
Marine Dr & Ainslie St,10669
Benson Ave & Church St,10607
Franklin St & Illinois St,10584
Wood St & Chicago Ave (*),10551
Ashland Ave & Augusta Blvd,10418
