member_casual,day_of_week,trip_duration
casual,Friday,3774.355356369549
casual,Monday,3372.653967178196
casual,Saturday,3332.1663461033663
casual,Sunday,3582.6988969634767
casual,Thursday,3683.661075394506
casual,Tuesday,3597.2258863053667
casual,Wednesday,3719.940394914796
member,Friday,825.4872969052652
member,Monday,843.5012773950893
member,Saturday,970.0693533694465
member,Sunday,921.582905273547
member,Thursday,824.9465324134965
member,Tuesday,827.0393281103251
member,Wednesday,824.8802595536845
